Parameter_Name,Increment,Range_Min,Range_Max,Value,Type,Default,Units
ctl_bw,N,10,250,N,Int32,75,Hz
ctl_dir,N,0,1,N,Int32,1,N
ctl_gain,N,0.0,1.0,N,Float,1.0,C/rad
ctl_hz_idle,N,0.0,100.0,N,Float,3.5,Hz
ctl_start_rate,N,5,1000,N,Int32,25,1/s^2
esc_index,N,0,15,N,Int32,0,N
id_ext_status,N,1,1000000,N,Int32,20034,N
int_ext_status,N,0,1000000,N,Int32,50000,us
int_status,N,N,1000000,N,Int32,50000,us
mot_i_max,N,1.0,80.0,N,Float,12.0,A
mot_kv,N,0,4000,N,Int32,2300,rpm/V
mot_ls,N,N,N,N,Float,0.0,H
mot_num_poles,N,2,40,N,Int32,14,N
mot_rs,N,N,N,N,Float,0.0,Ohm
mot_v_accel,N,0.01,1.0,N,Float,0.5,V
mot_v_max,N,0.0,N,N,Float,14.8,V
gnss.dyn_model,V,0,2,"['0', '1', '2']",Int32,2,N
gnss.old_fix_msg,V,0,1,"['0', '1']",Int32,1,N
gnss.warn_dimens,V,0,3,"['0', '1', '2', '3']",Int32,0,N
gnss.warn_sats,N,N,N,N,Int32,0,N
uavcan.pubp-pres,N,0,1000000,N,Int32,0,us
ADSB_CALLSIGN_1,N,N,N,N,Int32,0,N
ADSB_CALLSIGN_2,N,N,N,N,Int32,0,N
ADSB_EMERGC,V,0,6,"['0', '1', '2', '3', '4', '5', '6']",Int32,0,N
ADSB_EMIT_TYPE,V,0,15,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",Int32,14,N
ADSB_GPS_OFF_LAT,V,0,7,"['0', '1', '2', '3', '4', '5', '6', '7']",Int32,0,N
ADSB_GPS_OFF_LON,V,0,1,"['0', '1']",Int32,0,N
ADSB_ICAO_ID,N,-1,16777215,N,Int32,1194684,N
ADSB_ICAO_SPECL,N,0,16777215,N,Int32,0,N
ADSB_IDENT,V,N,N,"['0', '1']",Int32,0,N
ADSB_LEN_WIDTH,V,0,15,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",Int32,1,N
ADSB_LIST_MAX,N,0,50,N,Int32,25,N
ADSB_MAX_SPEED,V,0,6,"['0', '1', '2', '3', '4', '5', '6']",Int32,0,N
ADSB_SQUAWK,N,0,7777,N,Int32,1200,N
PCA9685_DIS1,N,800,2200,N,Int32,1000,N
PCA9685_DIS10,N,800,2200,N,Int32,1000,N
PCA9685_DIS11,N,800,2200,N,Int32,1000,N
PCA9685_DIS12,N,800,2200,N,Int32,1000,N
PCA9685_DIS13,N,800,2200,N,Int32,1000,N
PCA9685_DIS14,N,800,2200,N,Int32,1000,N
PCA9685_DIS15,N,800,2200,N,Int32,1000,N
PCA9685_DIS16,N,800,2200,N,Int32,1000,N
PCA9685_DIS2,N,800,2200,N,Int32,1000,N
PCA9685_DIS3,N,800,2200,N,Int32,1000,N
PCA9685_DIS4,N,800,2200,N,Int32,1000,N
PCA9685_DIS5,N,800,2200,N,Int32,1000,N
PCA9685_DIS6,N,800,2200,N,Int32,1000,N
PCA9685_DIS7,N,800,2200,N,Int32,1000,N
PCA9685_DIS8,N,800,2200,N,Int32,1000,N
PCA9685_DIS9,N,800,2200,N,Int32,1000,N
PCA9685_DUTY_EN,B,0,65535,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",Int32,0,N
PCA9685_FAIL1,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL10,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL11,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL12,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL13,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL14,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL15,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL16,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL2,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL3,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL4,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL5,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL6,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL7,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL8,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL9,N,-1,2200,N,Int32,-1,N
PCA9685_FUNC1,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC10,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC11,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC12,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC13,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC14,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC15,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC16,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC2,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC3,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC4,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC5,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC6,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC7,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC8,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC9,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_MAX1,N,1600,2200,N,Int32,1900,N
PCA9685_MAX10,N,1600,2200,N,Int32,1900,N
PCA9685_MAX11,N,1600,2200,N,Int32,1900,N
PCA9685_MAX12,N,1600,2200,N,Int32,1900,N
PCA9685_MAX13,N,1600,2200,N,Int32,1900,N
PCA9685_MAX14,N,1600,2200,N,Int32,1900,N
PCA9685_MAX15,N,1600,2200,N,Int32,1900,N
PCA9685_MAX16,N,1600,2200,N,Int32,1900,N
PCA9685_MAX2,N,1600,2200,N,Int32,1900,N
PCA9685_MAX3,N,1600,2200,N,Int32,1900,N
PCA9685_MAX4,N,1600,2200,N,Int32,1900,N
PCA9685_MAX5,N,1600,2200,N,Int32,1900,N
PCA9685_MAX6,N,1600,2200,N,Int32,1900,N
PCA9685_MAX7,N,1600,2200,N,Int32,1900,N
PCA9685_MAX8,N,1600,2200,N,Int32,1900,N
PCA9685_MAX9,N,1600,2200,N,Int32,1900,N
PCA9685_MIN1,N,800,1400,N,Int32,1100,N
PCA9685_MIN10,N,800,1400,N,Int32,1100,N
PCA9685_MIN11,N,800,1400,N,Int32,1100,N
PCA9685_MIN12,N,800,1400,N,Int32,1100,N
PCA9685_MIN13,N,800,1400,N,Int32,1100,N
PCA9685_MIN14,N,800,1400,N,Int32,1100,N
PCA9685_MIN15,N,800,1400,N,Int32,1100,N
PCA9685_MIN16,N,800,1400,N,Int32,1100,N
PCA9685_MIN2,N,800,1400,N,Int32,1100,N
PCA9685_MIN3,N,800,1400,N,Int32,1100,N
PCA9685_MIN4,N,800,1400,N,Int32,1100,N
PCA9685_MIN5,N,800,1400,N,Int32,1100,N
PCA9685_MIN6,N,800,1400,N,Int32,1100,N
PCA9685_MIN7,N,800,1400,N,Int32,1100,N
PCA9685_MIN8,N,800,1400,N,Int32,1100,N
PCA9685_MIN9,N,800,1400,N,Int32,1100,N
PCA9685_PWM_FREQ,N,23.8,1525.87,N,Float,50.0,N
PCA9685_REV,B,0,65535,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",Int32,0,N
PCA9685_SCHD_HZ,N,50.0,400.0,N,Float,50.0,N
PWM_AUX_DIS1,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS10,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS11,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS2,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS3,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS4,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS5,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS6,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS7,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS8,N,800,2200,N,Int32,1000,N
PWM_AUX_DIS9,N,800,2200,N,Int32,1000,N
PWM_AUX_FAIL1,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL10,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL11,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL2,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL3,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL4,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL5,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL6,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL7,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL8,N,-1,2200,N,Int32,-1,N
PWM_AUX_FAIL9,N,-1,2200,N,Int32,-1,N
PWM_AUX_FUNC1,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC10,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC11,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC2,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC3,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC4,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC5,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC6,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC7,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC8,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_FUNC9,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453', '2000', '2032', '2064', '2070']",Int32,0,N
PWM_AUX_MAX1,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX10,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX11,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX2,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX3,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX4,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX5,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX6,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX7,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX8,N,1600,2200,N,Int32,2000,N
PWM_AUX_MAX9,N,1600,2200,N,Int32,2000,N
PWM_AUX_MIN1,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN10,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN11,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN2,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN3,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN4,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN5,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN6,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN7,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN8,N,800,1400,N,Int32,1000,N
PWM_AUX_MIN9,N,800,1400,N,Int32,1000,N
PWM_AUX_REV,B,0,2047,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",Int32,0,N
PWM_AUX_TIM0,V,N,N,"['-5', '-4', '-3', '-1', '50', '100', '200', '400']",Int32,400,N
PWM_AUX_TIM1,V,N,N,"['-1', '50', '100', '200', '400']",Int32,400,N
PWM_AUX_TIM2,V,N,N,"['-1', '50', '100', '200', '400']",Int32,400,N
PWM_AUX_TIM3,V,N,N,"['-1', '50', '100', '200', '400']",Int32,400,N
PWM_MAIN_DIS1,N,800,2200,N,Int32,1000,N
PWM_MAIN_DIS2,N,800,2200,N,Int32,1000,N
PWM_MAIN_DIS3,N,800,2200,N,Int32,1000,N
PWM_MAIN_DIS4,N,800,2200,N,Int32,1000,N
PWM_MAIN_DIS5,N,800,2200,N,Int32,1000,N
PWM_MAIN_DIS6,N,800,2200,N,Int32,1000,N
PWM_MAIN_DIS7,N,800,2200,N,Int32,1000,N
PWM_MAIN_DIS8,N,800,2200,N,Int32,1000,N
PWM_MAIN_FAIL1,N,-1,2200,N,Int32,-1,N
PWM_MAIN_FAIL2,N,-1,2200,N,Int32,-1,N
PWM_MAIN_FAIL3,N,-1,2200,N,Int32,-1,N
PWM_MAIN_FAIL4,N,-1,2200,N,Int32,-1,N
PWM_MAIN_FAIL5,N,-1,2200,N,Int32,-1,N
PWM_MAIN_FAIL6,N,-1,2200,N,Int32,-1,N
PWM_MAIN_FAIL7,N,-1,2200,N,Int32,-1,N
PWM_MAIN_FAIL8,N,-1,2200,N,Int32,-1,N
PWM_MAIN_FUNC1,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PWM_MAIN_FUNC2,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PWM_MAIN_FUNC3,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PWM_MAIN_FUNC4,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PWM_MAIN_FUNC5,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PWM_MAIN_FUNC6,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PWM_MAIN_FUNC7,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PWM_MAIN_FUNC8,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PWM_MAIN_MAX1,N,1600,2200,N,Int32,2000,N
PWM_MAIN_MAX2,N,1600,2200,N,Int32,2000,N
PWM_MAIN_MAX3,N,1600,2200,N,Int32,2000,N
PWM_MAIN_MAX4,N,1600,2200,N,Int32,2000,N
PWM_MAIN_MAX5,N,1600,2200,N,Int32,2000,N
PWM_MAIN_MAX6,N,1600,2200,N,Int32,2000,N
PWM_MAIN_MAX7,N,1600,2200,N,Int32,2000,N
PWM_MAIN_MAX8,N,1600,2200,N,Int32,2000,N
PWM_MAIN_MIN1,N,800,1400,N,Int32,1000,N
PWM_MAIN_MIN2,N,800,1400,N,Int32,1000,N
PWM_MAIN_MIN3,N,800,1400,N,Int32,1000,N
PWM_MAIN_MIN4,N,800,1400,N,Int32,1000,N
PWM_MAIN_MIN5,N,800,1400,N,Int32,1000,N
PWM_MAIN_MIN6,N,800,1400,N,Int32,1000,N
PWM_MAIN_MIN7,N,800,1400,N,Int32,1000,N
PWM_MAIN_MIN8,N,800,1400,N,Int32,1000,N
PWM_MAIN_REV,B,0,255,"['0', '1', '2', '3', '4', '5', '6', '7']",Int32,0,N
PWM_MAIN_TIM0,V,N,N,"['-1', '50', '100', '200', '400']",Int32,400,N
PWM_MAIN_TIM1,V,N,N,"['-1', '50', '100', '200', '400']",Int32,400,N
PWM_MAIN_TIM2,V,N,N,"['-1', '50', '100', '200', '400']",Int32,400,N
RBCLW_DIS1,N,128,128,N,Int32,128,N
RBCLW_DIS2,N,128,128,N,Int32,128,N
RBCLW_FAIL1,N,-1,257,N,Int32,-1,N
RBCLW_FAIL2,N,-1,257,N,Int32,-1,N
RBCLW_FUNC1,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
RBCLW_FUNC2,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
RBCLW_MAX1,N,128,256,N,Int32,256,N
RBCLW_MAX2,N,128,256,N,Int32,256,N
RBCLW_MIN1,N,1,128,N,Int32,1,N
RBCLW_MIN2,N,1,128,N,Int32,1,N
RBCLW_REV,B,0,3,"['0', '1']",Int32,0,N
SIM_GZ_EC_DIS1,N,0,1000,N,Int32,0,N
SIM_GZ_EC_DIS2,N,0,1000,N,Int32,0,N
SIM_GZ_EC_DIS3,N,0,1000,N,Int32,0,N
SIM_GZ_EC_DIS4,N,0,1000,N,Int32,0,N
SIM_GZ_EC_DIS5,N,0,1000,N,Int32,0,N
SIM_GZ_EC_DIS6,N,0,1000,N,Int32,0,N
SIM_GZ_EC_DIS7,N,0,1000,N,Int32,0,N
SIM_GZ_EC_DIS8,N,0,1000,N,Int32,0,N
SIM_GZ_EC_FAIL1,N,-1,1000,N,Int32,-1,N
SIM_GZ_EC_FAIL2,N,-1,1000,N,Int32,-1,N
SIM_GZ_EC_FAIL3,N,-1,1000,N,Int32,-1,N
SIM_GZ_EC_FAIL4,N,-1,1000,N,Int32,-1,N
SIM_GZ_EC_FAIL5,N,-1,1000,N,Int32,-1,N
SIM_GZ_EC_FAIL6,N,-1,1000,N,Int32,-1,N
SIM_GZ_EC_FAIL7,N,-1,1000,N,Int32,-1,N
SIM_GZ_EC_FAIL8,N,-1,1000,N,Int32,-1,N
